timestamp,load_mw,temperature_c,dew_point_c,wind_speed_mps,relative_humidity_pct,precipitation_mm
2025-02-01 05:00:00+00:00,94496.88057403354,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 06:00:00+00:00,94531.99589094697,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 07:00:00+00:00,94509.91598152053,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 08:00:00+00:00,94505.42344317783,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 09:00:00+00:00,94284.67326112984,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 10:00:00+00:00,93813.29547030844,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 11:00:00+00:00,93740.67948559768,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 12:00:00+00:00,95224.99592646462,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 13:00:00+00:00,94466.22276303319,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 14:00:00+00:00,94436.49245547989,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 15:00:00+00:00,94362.22537834711,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 16:00:00+00:00,94312.01619871438,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 17:00:00+00:00,93866.5091113032,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 18:00:00+00:00,92357.68690291584,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 19:00:00+00:00,91587.77557811647,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 20:00:00+00:00,91476.81844268528,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 21:00:00+00:00,92500.9993097431,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 22:00:00+00:00,95094.76187701838,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-01 23:00:00+00:00,95000.86175225889,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-02 00:00:00+00:00,93901.51425296986,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-02 01:00:00+00:00,93804.60148724436,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-02 02:00:00+00:00,93751.80219709764,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-02 03:00:00+00:00,93335.83211985155,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
2025-02-02 04:00:00+00:00,91603.08644594521,0.3166666666666666,0.1866666666666666,0.53,9.166666666666668,0.0
